"trial","ref_position","var_area","response","correct","rt"
1,"R",8.13155995029956,"L",FALSE,1.4539999961853
2,"L",14.7854341298807,"R",TRUE,0.989000082015991
3,"R",12.1638636523858,"R",FALSE,0.677000045776367
4,"L",14.3416340232361,"L",FALSE,0.690999984741211
5,"L",10.7380753748585,"R",TRUE,1.28999996185303
6,"L",8.37993795378134,"L",TRUE,0.893999814987183
7,"L",14.4041044057813,"L",FALSE,1.08799982070923
8,"L",10.8414450788405,"L",FALSE,0.791000127792358
9,"L",10.5220796994399,"L",FALSE,0.898000001907349
10,"R",11.2249699234962,"R",FALSE,0.671000003814697
11,"L",11.294257461559,"L",FALSE,0.690000057220459
12,"L",10.1465636687353,"R",TRUE,0.684999942779541
13,"R",11.4428877304308,"L",TRUE,0.677999973297119
14,"R",14.7335355000105,"R",FALSE,0.687999963760376
15,"L",13.9827368834522,"L",FALSE,0.694000005722046
16,"R",9.16532439435832,"R",FALSE,0.707000017166138
17,"R",13.7273558017332,"L",TRUE,0.58899998664856
18,"R",13.1321917367168,"R",FALSE,0.577000141143799
19,"R",11.4707199227996,"L",TRUE,0.677999973297119
20,"L",10.4863868057728,"R",TRUE,0.694999933242798
21,"L",9.91575141320936,"R",TRUE,0.78600001335144
22,"R",14.3280725681689,"L",TRUE,0.967999935150146
23,"L",12.780718144495,"R",TRUE,0.897000074386597
